"ruleId","ruleType","fieldId","description","noticeSubtype","condition","expression","target","severity","context","contextNode","cvsStage"
"BR-BT-00002-0100","co_constraint","BT-02-notice","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/23/EU', then Notice Type (BT-02) value must be equal to ('Prior information notice or a periodic indicative notice used as a call for competition – social regime' or 'Contract or concession notice – standard regime' or 'Voluntary ex-ante transparency notice' or 'Contract or concession award notice – standard regime' or 'Contract or concession award notice – social regime').","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00002-0101","co_constraint","BT-02-notice","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/23/EU', then Additional Nature (BT-531) value must be different from 'Supplies'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00002-0102","co_constraint","BT-02-notice","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU', then Notice Type (BT-02) value must be different from 'Subcontracting notice'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00002-0103","co_constraint","BT-02-notice","If Form Type (BT-03) is 'Business registration information' then Notice Type (BT-02) must be 'European Company / European Cooperative Society notice' or 'European Economic Interest Grouping notice'","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00002-0105","co_constraint","BT-02-notice","If Form Type (BT-03) is 'Competition' then Notice Type (BT-02) must be 'Prior information notice or a periodic indicative notice used as a call for competition – light regime' or 'Prior information notice or a periodic indicative notice used as a call for competition – standard regime' or 'Notice on the existence of a qualification system' or 'Contract notice – light regime' or 'Contract or concession notice – standard regime' or 'Subcontracting notice' or 'Design contest notice'","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00002-0106","co_constraint","BT-02-notice","If Form Type (BT-03) is 'Contract modification' then Notice Type (BT-02) must be 'Contract modification notice'","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00002-0107","co_constraint","BT-02-notice","If Form Type (BT-03) is 'Direct award preannouncement' then Notice Type (BT-02) must be 'Voluntary ex-ante transparency notice'","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00002-0108","co_constraint","BT-02-notice","If Form Type (BT-03) is 'Planning' then Notice Type (BT-02) must be 'Notice of the publication of a prior information notice or a periodic information notice on a buyer profile' or 'Prior information notice or a periodic indicative notice used only for information' or 'Prior information notice or a periodic indicative notice used to shorten time limits for receipt of tenders' or 'Prior information notice for public passenger transport services'","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00002-0109","co_constraint","BT-02-notice","If Form Type (BT-03) is 'Result' then Notice Type (BT-02) must be 'Contract or concession award notice – light regime' or 'Contract or concession award notice – standard regime' or 'Design contest result notice' or 'Contract award notice for public passenger transport services'","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00005-0150","co_constraint","BT-05(a)-notice","Notice Dispatch Date (BT-05) value must be earlier than Notice Preferred Publication Date (BT-738) value.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
