"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity","codeListId","codeListParentId"
"BR-BT-00001-0155","value_check","BT-01-notice","The BT-01-notice Procedure Legal Basis must contain one of the values of the code list legal-basis.","NULL","NULL","NULL","all","ERROR","eforms-legal-basis","NULL"
"BR-BT-00002-0052","value_check","BT-02-notice","The BT-02-notice Notice Type must contain one of the values of the code list notice-type.","NULL","NULL","NULL","all","ERROR","notice-type","NULL"
"BR-BT-00003-0052","value_check","BT-03-notice","The BT-03-notice Form Type must contain one of the values of the code list form-type.","NULL","NULL","NULL","all","ERROR","form-type","NULL"
"BR-BT-00006-0051","value_check","BT-06-Lot","The BT-06-Lot Strategic Procurement must contain one of the values of the code list strategic-procurement.","NULL","NULL","NULL","all","ERROR","strategic-procurement","NULL"
"BR-BT-00010-0052","value_check","BT-10-Procedure-Buyer","The BT-10-Procedure-Buyer Activity Authority must contain one of the values of the code list authority-activity.","NULL","NULL","NULL","all","ERROR","authority-activity","NULL"
"BR-BT-00011-0052","value_check","BT-11-Procedure-Buyer","The BT-11-Procedure-Buyer Buyer Legal Type must contain one of the values of the code list buyer-legal-type.","NULL","NULL","NULL","all","ERROR","eforms-buyer-legal-type","buyer-legal-type"
"BR-BT-00014-0103","value_check","BT-14-Part","The BT-14-Part Documents Restricted must contain one of the values of the code list document-distribution.","NULL","NULL","NULL","all","ERROR","document-distribution","NULL"
"BR-BT-00014-0104","value_check","BT-14-Lot","The BT-14-Lot Documents Restricted must contain one of the values of the code list document-distribution.","NULL","NULL","NULL","all","ERROR","document-distribution","NULL"
"BR-BT-00017-0052","value_check","BT-17-Lot","The BT-17-Lot SubmissionElectronic must contain one of the values of the code list permission.","NULL","NULL","NULL","all","ERROR","esubmission","NULL"
"BR-BT-00019-0052","value_check","BT-19-Lot","The BT-19-Lot Submission Nonelectronic Justification must contain one of the values of the code list no-esubmission-justification.","NULL","NULL","NULL","all","ERROR","no-esubmission-justification","NULL"
"BR-BT-00023-0154","value_check","BT-23-Procedure","The BT-23-Procedure Main Nature must contain one of the values of the code list eforms-contract-nature.","NULL","NULL","NULL","all","ERROR","eforms-contract-nature","contract-nature"
"BR-BT-00023-0155","value_check","BT-23-Part","The BT-23-Part Main Nature must contain one of the values of the code list eforms-contract-nature.","NULL","NULL","NULL","all","ERROR","eforms-contract-nature","contract-nature"
"BR-BT-00023-0156","value_check","BT-23-Lot","The BT-23-Lot Main Nature must contain one of the values of the code list contract-nature.","NULL","NULL","NULL","all","ERROR","eforms-contract-nature","contract-nature"
"BR-BT-00026-0605","value_check","BT-26(m)-Procedure","The BT-26(m)-Procedure Classification Type (e.g. CPV) must contain one of the values of the code list classification-type.","NULL","NULL","NULL","all","ERROR","classification-type","NULL"
"BR-BT-00026-0606","value_check","BT-26(a)-Procedure","The BT-26(a)-Procedure Classification Type (e.g. CPV) must contain one of the values of the code list classification-type.","NULL","NULL","NULL","all","ERROR","classification-type","NULL"
"BR-BT-00026-0607","value_check","BT-26(m)-Part","The BT-26(m)-Part Classification Type (e.g. CPV) must contain one of the values of the code list classification-type.","NULL","NULL","NULL","all","ERROR","classification-type","NULL"
"BR-BT-00026-0608","value_check","BT-26(a)-Part","The BT-26(a)-Part Classification Type (e.g. CPV) must contain one of the values of the code list classification-type.","NULL","NULL","NULL","all","ERROR","classification-type","NULL"
"BR-BT-00026-0609","value_check","BT-26(m)-Lot","The BT-26(m)-Lot Classification Type (e.g. CPV) must contain one of the values of the code list classification-type.","NULL","NULL","NULL","all","ERROR","classification-type","NULL"
"BR-BT-00026-0610","value_check","BT-26(a)-Lot","The BT-26(a)-Lot Classification Type (e.g. CPV) must contain one of the values of the code list classification-type.","NULL","NULL","NULL","all","ERROR","classification-type","NULL"
"BR-BT-00060-0052","value_check","BT-60-Lot","The BT-60-Lot EU Funds must contain one of the values of the code list eu-funded.","NULL","NULL","NULL","all","ERROR","eu-funded","NULL"
"BR-BT-00063-0052","value_check","BT-63-Lot","The BT-63-Lot Variants must contain one of the values of the code list permission.","NULL","NULL","NULL","all","ERROR","permission","NULL"
"BR-BT-00065-0051","value_check","BT-65-Lot","The BT-65-Lot Subcontracting Obligation must contain one of the values of the code list subcontracting-obligation.","NULL","NULL","NULL","all","ERROR","subcontracting-obligation","NULL"
"BR-BT-00067-0104","value_check","BT-67(a)-Procedure","The BT-67(a)-Procedure Exclusion Grounds must contain one of the values of the code list exclusion-ground.","NULL","NULL","NULL","all","ERROR","exclusion-ground","NULL"
"BR-BT-00071-0101","value_check","BT-71-Part","The BT-71-Part Reserved Participation must contain one of the values of the code list reserved-procurement.","NULL","NULL","NULL","all","ERROR","reserved-procurement","NULL"
