"fieldId","btId","type","name","nameLabel","descriptionLabel","parentNodeId","maxLength","privacyCode","xpathAbsolute","businessEntityId"
"BT-01(c)-Procedure","BT-01","id","Procedure Legal Basis (ID)","Legal basis of the procedure (ELI - CELEX)","The legal basis (e.g. a Union or national legal act) under which the procurement procedure takes place or, in case of prior information notices, under which the procurement procedure(s) will take place.","ND-LocalLegalBasisWithID","NULL","NULL","/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference[not(cbc:ID/text()=('CrossBorderLaw','LocalLegalBasis'))]/cbc:ID","procedure"
"BT-01(c)-Procedure-Scheme","BT-01","text","Procedure Legal Basis (ID) Schemename","Legal basis","The legal basis (e.g. a Union or national legal act) under which the procurement procedure takes place or, in case of prior information notices, under which the procurement procedure(s) will take place.","ND-LocalLegalBasisWithID","NULL","NULL","/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference[not(cbc:ID/text()=('CrossBorderLaw','LocalLegalBasis'))]/cbc:ID/@schemeName","procedure"
"BT-01(d)-Procedure","BT-01","text-multilingual","Procedure Legal Basis (Description)","Legal basis of the procedure (description)","The legal basis (e.g. a Union or national legal act) under which the procurement procedure takes place or, in case of prior information notices, under which the procurement procedure(s) will take place.","ND-LocalLegalBasisWithID","400","NULL","/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference[not(cbc:ID/text()=('CrossBorderLaw','LocalLegalBasis'))]/cbc:DocumentDescription","procedure"
"BT-01(d)-Procedure-Language","BT-01","code","Procedure Legal Basis (Description) Language","Legal basis","The legal basis (e.g. a Union or national legal act) under which the procurement procedure takes place or, in case of prior information notices, under which the procurement procedure(s) will take place.","ND-LocalLegalBasisWithID","NULL","NULL","/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference[not(cbc:ID/text()=('CrossBorderLaw','LocalLegalBasis'))]/cbc:DocumentDescription/@languageID","procedure"
"BT-01(e)-Procedure","BT-01","id","Procedure Legal Basis (NoID)","Legal basis","The legal basis (e.g. a Union or national legal act) under which the procurement procedure takes place or, in case of prior information notices, under which the procurement procedure(s) will take place.","ND-LocalLegalBasisNoID","NULL","NULL","/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference[cbc:ID/text()='LocalLegalBasis']/cbc:ID","procedure"
"BT-01(f)-Procedure","BT-01","text-multilingual","Procedure Legal Basis (NoID Description)","Legal basis","The legal basis (e.g. a Union or national legal act) under which the procurement procedure takes place or, in case of prior information notices, under which the procurement procedure(s) will take place.","ND-LocalLegalBasisNoID","400","NULL","/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference[cbc:ID/text()='LocalLegalBasis']/cbc:DocumentDescription","procedure"
"BT-01(f)-Procedure-Language","BT-01","code","Procedure Legal Basis (NoID Description) Language","Legal basis","The legal basis (e.g. a Union or national legal act) under which the procurement procedure takes place or, in case of prior information notices, under which the procurement procedure(s) will take place.","ND-LocalLegalBasisNoID","NULL","NULL","/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference[cbc:ID/text()='LocalLegalBasis']/cbc:DocumentDescription/@languageID","procedure"
"BT-01-notice","BT-01","code","Procedure Legal Basis","Legal basis of the procedure","The legal basis (e.g. a Union or national legal act) under which the procurement procedure takes place or, in case of prior information notices, under which the procurement procedure(s) will take place.","ND-Root","NULL","NULL","/*/cbc:RegulatoryDomain","procedure"
"BT-02-notice","BT-02","code","Notice Type","Notice type","The type of notice according to procurement legislation.","ND-Root","NULL","NULL","/*/cbc:NoticeTypeCode","noticeInformation"
"BT-03-notice","BT-03","code","Form Type","Form type","The type of form according to procurement legislation.","ND-Root","NULL","NULL","/*/cbc:NoticeTypeCode/@listName","noticeInformation"
"BT-04-notice","BT-04","id","Procedure Identifier","Procedure identifier","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the Union.","ND-Root","NULL","NULL","/*/cbc:ContractFolderID","procedure"
"BT-05(a)-notice","BT-05","date","Notice Dispatch Date","Notice dispatch date","The date and time when the notice has been sent for publication by the buyer.","ND-Root","NULL","NULL","/*/cbc:IssueDate","noticeInformation"
"BT-05(b)-notice","BT-05","time","Notice Dispatch Time","Notice dispatch date","The date and time when the notice has been sent for publication by the buyer.","ND-Root","NULL","NULL","/*/cbc:IssueTime","noticeInformation"
