"ruleId","ruleType","fieldId","description","noticeSubtype","condition","expression","target","severity","cvsStage"
"BR-BT-00001-0001","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type .","X01","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0002","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type .","X02","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0004","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0005","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0006","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0007","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Prior information notice used only for information – general directive.","4","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0008","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Periodic indicative notice used only for information – sectoral directive.","5","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0009","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Prior information notice used only for information – defence directive.","6","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0011","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type .","T01","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0012","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – general directive.","7","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0013","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Periodic indicative notice used to shorten time limits for receipt of tenders – sectoral directive.","8","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0014","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – defence directive.","9","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0015","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Prior information notice used as a call for competition - general directive, standard regime.","10","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0016","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, standard regime.","11","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0017","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type .","CEI","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0018","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Prior information notice used as a call for competition - general directive, light regime.","12","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0019","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, light regime.","13","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0020","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Prior information notice used as a call for competition - concessions directive, light regime.","14","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0021","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Notice on the existence of a qualification system – sectoral directive.","15","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0022","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract notice – general directive, standard regime.","16","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0023","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract notice – sectoral directive, standard regime.","17","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0024","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract notice – defence directive, standard regime .","18","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0025","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Concession notice – concessions directive, standard regime.","19","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0027","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract notice – general directive, light regime.","20","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0028","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Contract notice – sectoral directive, light regime.","21","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0029","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Subcontract notice – defence directive.","22","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0030","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Design contest notice – general directive, design.","23","NULL","NULL","all","ERROR","2"
"BR-BT-00001-0031","mandatory","BT-01-notice","The BT-01 Procedure Legal Basis is mandatory at Notice level for a notice of type Design contest notice – sectoral directive, design.","24","NULL","NULL","all","ERROR","2"
