"id","parentId","xpathRelative","description","repeatable"
"ND-AcceleratedProcedure","ND-ProcedureTenderingProcess","cac:ProcessJustification[cbc:ProcessReasonCode/@listName='accelerated-procedure']","Accelerated Procedure (or not) and Justification","FALSE"
"ND-AccessibilityJustification","ND-LotProcurementScope","cac:ProcurementAdditionalType[cbc:ProcurementTypeCode/@listName='accessibility']","Justification for absence of Accessibility Criteria","FALSE"
"ND-AllowedSubcontracting","ND-LotTenderingTerms","cac:AllowedSubcontractTerms[cbc:SubcontractingConditionsCode/@listName='subcontracting-allowed']","Condition on subcontractinng","FALSE"
"ND-AppealDecision","ND-ReviewStatus","efac:AppealDecision","Decision type","TRUE"
"ND-AppealedItemReference","ND-ReviewStatus","efac:AppealedItem","Appealed item","TRUE"
"ND-AppealingParty","ND-ReviewStatus","efac:AppealingParty","A Party that initiated the Review Request","TRUE"
"ND-AppealIrregularity","ND-ReviewStatus","efac:AppealIrregularity","Irregularity type","TRUE"
"ND-AppealProcessingParty","ND-ReviewStatus","efac:AppealProcessingParty","Party dealing with the review at the given process step.","FALSE"
"ND-AppealRemedy","ND-ReviewStatus","efac:AppealRemedy","Remedy type","TRUE"
"ND-Asset","ND-AssetList","efac:Asset","Individual Asset characteristics (description, significance, predominance) justifying the Contract extension","TRUE"
"ND-AssetList","ND-ExtendedDurationJustification","efac:AssetsList","List of all Individual Assets that justify a Contract extension","FALSE"
"ND-AuctionTerms","ND-LotTenderingProcess","cac:AuctionTerms","eAuction related information (indicator, URL, Description)","FALSE"
"ND-AwardingTerms","ND-LotTenderingTerms","cac:AwardingTerms","Award related terms (Consequences, Criteria, Jury, Prizes)","FALSE"
"ND-AwardingTermsJuryMember","ND-AwardingTerms","cac:TechnicalCommitteePerson","Jury member","TRUE"
"ND-BusinessAddress","ND-BusinessParty","cac:PostalAddress","Business Official Address as registered (X01, X02 only)","FALSE"
"ND-BusinessCapability","ND-Root","cac:BusinessCapability","Business capability","TRUE"
"ND-BusinessContact","ND-BusinessParty","cac:Contact","Contact Details for the Business Party","FALSE"
"ND-BusinessParty","ND-Root","cac:BusinessParty","Party related information (ID, URL …) for a registered party (X01, X02 only)","FALSE"
"ND-BuyerReviewComplainants","ND-LotResult","efac:AppealRequestsStatistics[efbc:StatisticsCode/@listName='review-type']","Statistics regarding the number of Organizations requesting review for a given Irregularity Type (Number & Code)","FALSE"
"ND-Change","ND-Changes","efac:Change","Information associated to a single Change (Section, Description & Procurement Documents)","TRUE"
"ND-ChangedSection","ND-Change","efac:ChangedSection","Section subject to change","TRUE"
"ND-ChangeReason","ND-Changes","efac:ChangeReason","Change Reason (Code and Description)","FALSE"
"ND-Changes","ND-RootExtension","efac:Changes","Applied Changes related information.","FALSE"
"ND-Company","ND-Organization","efac:Company","Legal Organization","FALSE"
"ND-CompanyAddress","ND-Company","cac:PostalAddress","Official Company address","FALSE"
"ND-CompanyContact","ND-Company","cac:Contact","Official Company contact","FALSE"
"ND-CompanyLegalEntity","ND-Company","cac:PartyLegalEntity","Company legal identifier","TRUE"
"ND-ConcessionRevenue","ND-LotTender","efac:ConcessionRevenue","Concession Revenues and Value","FALSE"
"ND-ConcessionRevenueBuyerUnpublish","ND-ConcessionRevenue","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='con-rev-buy']","Not Immediately Published (ConcessionRevenueBuyer)","FALSE"
"ND-ConcessionRevenueUserUnpublish","ND-ConcessionRevenue","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='con-rev-use']","Not Immediately Published (ConcessionRevenueUser)","FALSE"
"ND-ContractEUFunds","ND-SettledContract","efac:Funding","EU Funds (Code, Description) involved in a contract.","TRUE"
"ND-ContractingParty","ND-Root","cac:ContractingParty","Contracting Party related Information (URL, Legal Type, Contracting Type, Activity, …)","TRUE"
"ND-ContractModification","ND-RootExtension","efac:ContractModification","Elements related to the Modification (Section, Description, Reason)","TRUE"
"ND-ContractSignatory","ND-SettledContract","cac:SignatoryParty","Contract signatory","TRUE"
"ND-CountryOriginUnpublish","ND-LotTenderOriginCountry","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='cou-ori']","Not Immediately Published (CountryOrigin)","FALSE"
"ND-CrossBorderLaw","ND-ProcedureTerms","cac:ProcurementLegislationDocumentReference[cbc:ID/text()='CrossBorderLaw']","Cross Border Law","FALSE"
"ND-CrossBorderLawUnpublish","ND-CrossBorderLaw","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='cro-bor-law']","Not Immediately Published (Cross Border Law)","FALSE"
"ND-DirectAward","ND-ProcedureTenderingProcess","cac:ProcessJustification[cbc:ProcessReasonCode/@listName='direct-award-justification']","Direct Award (or not) and Justification","FALSE"
"ND-DirectAwardJustificationCodeUnpublish","ND-DirectAward","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='dir-awa-jus']","Not Immediately Published (DirectAwardJustificationCode)","FALSE"
"ND-DirectAwardJustificationPreviousUnpublish","ND-DirectAward","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='dir-awa-pre']","Not Immediately Published (DirectAwardJustificationPrevious)","FALSE"
"ND-DirectAwardJustificationTextUnpublish","ND-DirectAward","ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='dir-awa-tex']","Not Immediately Published (DirectAwardJustificationText)","FALSE"
"ND-EuEntity","ND-BusinessParty","cac:PartyLegalEntity[cbc:CompanyID/@schemeName = 'EU']","Properties of the EU Entity (Registration ID)","FALSE"
"ND-ExclusionGrounds","ND-TendererQualificationRequest","cac:SpecificTendererRequirement","Exclusion Grounds (Code & Description)","TRUE"
"ND-ExecutionRequirements","ND-LotTenderingTerms","cac:ContractExecutionRequirement[cbc:ExecutionRequirementCode/@listName='conditions']","Contract Execution Requirements (Terms of Performance Description)","FALSE"
"ND-ExtendedDurationJustification","ND-SettledContract","efac:DurationJustification","Elements about the Extension of the Contract Duration (Indicator, Assets)","FALSE"
"ND-FA","ND-LotTenderingProcess","cac:FrameworkAgreement","Lot FrameworkAgreement (Max participants, justification …)","FALSE"
"ND-FABuyerCategories","ND-FA","cac:SubsequentProcessTenderRequirement[cbc:Name/text()='buyer-categories']","Parent container for the Framework Agreement Buyer Categories Description","FALSE"
"ND-FinancialGuarantee","ND-LotTenderingTerms","cac:RequiredFinancialGuarantee","Initial Guarantee Requirements","FALSE"
"ND-FinancingParty","ND-LotResult","cac:FinancingParty","Financing party","TRUE"
"ND-Funding","ND-NonUBLTenderingTerms","efac:Funding","Funding for a given Lot","TRUE"
"ND-GazetteReference","ND-Root","cac:AdditionalDocumentReference","Reference to the Gazette where Publication took place (Date, Name, URL …)","FALSE"
"ND-GroupComposition","ND-LotDistribution","cac:LotsGroup","Composition of a given Group of lots","TRUE"
"ND-GroupCompositionLotReference","ND-GroupComposition","cac:ProcurementProjectLotReference","Lot belonging to the Group","TRUE"
"ND-GroupMaximalValueIdentifierUnpublish","ND-NoticeResultGroupFA","efac:FieldsPrivacy[efbc:FieldIdentifierCode/text()='gro-max-ide']","Not Immediately Published (GroupMaximalValueIdentifier)","FALSE"
