"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity","patternId"
"BR-BT-00004-0052","pattern_matching","BT-04-notice","The BT-04 Procedure Identifier must match the 'ProcedureOrNoticeID' pattern at notice level.","NULL","NULL","NULL","all","ERROR","ProcedureOrNoticeID"
"BR-BT-00005-0052","pattern_matching","BT-05(a)-notice","The BT-05 Notice Dispatch Date must match the 'date' pattern at Notice level.","NULL","NULL","NULL","all","ERROR","Date"
"BR-BT-00005-0104","pattern_matching","BT-05(b)-notice","The BT-05 Notice Dispatch Date must match the 'time' pattern at Notice level.","NULL","NULL","NULL","all","ERROR","Time"
"BR-BT-00009-0104","pattern_matching","BT-09(a)-Procedure","The BT-09 Cross Border Law must match the 'CrossBorderLawID' pattern at Procedure level.","NULL","NULL","NULL","all","ERROR","CrossBorderLawID"
"BR-BT-00013-0052","pattern_matching","BT-13(d)-Part","The BT-13 Additional Information Deadline must match the 'zoned date' pattern at Part level.","NULL","NULL","NULL","all","ERROR","Date"
"BR-BT-00013-0104","pattern_matching","BT-13(t)-Part","The BT-13 Additional Information Deadline must match the 'zoned time' pattern at Part level.","NULL","NULL","NULL","all","ERROR","Time"
"BR-BT-00013-0156","pattern_matching","BT-13(d)-Lot","The BT-13 Additional Information Deadline must match the 'zoned date' pattern at Lot level.","NULL","NULL","NULL","all","ERROR","Date"
"BR-BT-00013-0208","pattern_matching","BT-13(t)-Lot","The BT-13 Additional Information Deadline must match the 'zoned time' pattern at Lot level.","NULL","NULL","NULL","all","ERROR","Time"
"BR-BT-00015-0112","pattern_matching","BT-15-Lot","The specified BT-15 Documents URL value must comply the URL pattern","NULL","NULL","NULL","all","ERROR","URL"
"BR-BT-00015-0113","pattern_matching","BT-15-Part","The specified BT-15 Documents URL value must comply the URL pattern","NULL","NULL","NULL","all","ERROR","URL"
"BR-BT-00018-0155","pattern_matching","BT-18-Lot","The specified BT-18 Submission URL value must comply the URL pattern","NULL","NULL","NULL","all","ERROR","URL"
"BR-BT-00078-0052","pattern_matching","BT-78-Lot","The BT-78 Security Clearance Deadline must match the 'date' pattern at Lot level.","NULL","NULL","NULL","all","ERROR","Date"
"BR-BT-00123-0053","pattern_matching","BT-123-Lot","The specified BT-123 Electronic Auction URL value must comply the URL pattern","NULL","NULL","NULL","all","ERROR","URL"
